<META>
author:Youppie Arliansyah
email:youppie@gmail.com
tanggal_dibuat:2010-11-17
nama_file:kabupaten.txt
deskripsi:Data Kabupaten Indonesia, sumber data diambil dari sumbangan Wida Sari dari file group ID-PHP
kegunaan:Demo
lokasi:data/yopi/kabupaten.txt
primary_key:Id_Kabupaten
sifat_tabel:master;hirarki
11.04.00.0000;KABUPATEN ACEH TENGAH
11.05.00.0000;KABUPATEN ACEH BARAT
11.06.00.0000;KABUPATEN ACEH BESAR
11.07.00.0000;KABUPATEN PIDIE
11.08.00.0000;KABUPATEN ACEH UTARA
11.09.00.0000;KABUPATEN SIMEULUE
11.10.00.0000;KABUPATEN ACEH SINGKIL
11.11.00.0000;KABUPATEN BIREUEN
11.12.00.0000;KABUPATEN ACEH BARAT DAYA
11.13.00.0000;KABUPATEN GAYO LUES
11.14.00.0000;KABUPATEN ACEH JAYA
11.15.00.0000;KABUPATEN NAGAN RAYA
11.16.00.0000;KABUPATEN ACEH TAMIANG
11.17.00.0000;KABUPATEN  BENER MERIAH
11.71.00.0000;KOTA BANDA ACEH
11.72.00.0000;KOTA SABANG
11.73.00.0000;KOTA LHOKSEUMAWE
11.74.00.0000;KOTA LANGSA
81.01.00.0000;KABUPATEN MALUKU TENGGARA  BARAT
81.02.00.0000;KABUPATEN MALUKU TENGGARA
81.03.00.0000;KABUPATEN MALUKU TENGAH
81.04.00.0000;KABUPATEN  BURU
81.05.00.0000;KABUPATEN SERAM BAGIAN BARAT
81.06.00.0000;KABUPATEN SERAM BAGIAN TIMUR
81.07.00.0000;KABUPATEN KEPULAUAN ARU
81.71.00.0000;KOTA AMBON
35.01.00.0000;KABUPATEN PACITAN
35.02.00.0000;KABUPATEN PONOROGO
35.03.00.0000;KABUPATEN TRENGGALEK
35.04.00.0000;KABUPATEN TULUNGAGUNG
35.05.00.0000;KABUPATEN BLITAR
35.06.00.0000;KABUPATEN KEDIRI
35.07.00.0000;KABUPATEN MALANG
35.08.00.0000;KABUPATEN LUMAJANG
35.09.00.0000;KABUPATEN JEMBER
35.10.00.0000;KABUPATEN BANYUWANGI
35.11.00.0000;KABUPATEN BONDOWOSO
35.12.00.0000;KABUPATEN SITUBONDO
35.13.00.0000;KABUPATEN PROBOLINGGO
35.14.00.0000;KABUPATEN PASURUAN
35.15.00.0000;KABUPATEN SIDOARJO
35.16.00.0000;KABUPATEN MOJOKERTO
35.17.00.0000;KABUPATEN JOMBANG
35.18.00.0000;KABUPATEN NGANJUK
35.19.00.0000;KABUPATEN MADIUN
35.20.00.0000;KABUPATEN MAGETAN
35.21.00.0000;KABUPATEN NGAWI
35.22.00.0000;KABUPATEN BOJONEGORO
35.23.00.0000;KABUPATEN TUBAN
35.24.00.0000;KABUPATEN LAMONGAN
35.25.00.0000;KABUPATEN GRESIK
35.26.00.0000;KABUPATEN BANGKALAN
35.27.00.0000;KABUPATEN SAMPANG
35.28.00.0000;KABUPATEN PAMEKASAN
35.29.00.0000;KABUPATEN SUMENEP
35.71.00.0000;KOTA KEDIRI
35.72.00.0000;KOTA BLITAR
35.73.00.0000;KOTA MALANG
35.74.00.0000;KOTA PROBOLINGGO
35.75.00.0000;KOTA PASURUAN
35.76.00.0000;KOTA MOJOKERTO
35.77.00.0000;KOTA MADIUN
35.78.00.0000;KOTA SURABAYA
35.79.00.0000;KOTA BATU
33.01.00.0000;KABUPATEN CILACAP
33.02.00.0000;KABUPATEN BANYUMAS
33.03.00.0000;KABUPATEN PURBALINGGA
33.04.00.0000;KABUPATEN BANJARNEGARA
33.05.00.0000;KABUPATEN KEBUMEN
33.06.00.0000;KABUPATEN PURWOREJO
33.07.00.0000;KABUPATEN WONOSOBO
33.08.00.0000;KABUPATEN MAGELANG
33.09.00.0000;KABUPATEN BOYOLALI
33.10.00.0000;KABUPATEN KLATEN
33.11.00.0000;KABUPATEN SUKOHARJO
33.12.00.0000;KABUPATEN WONOGIRI
33.13.00.0000;KABUPATEN KARANGANYAR
33.14.00.0000;KABUPATEN SRAGEN
33.15.00.0000;KABUPATEN GROBOGAN
33.16.00.0000;KABUPATEN BLORA
33.17.00.0000;KABUPATEN REMBANG
33.18.00.0000;KABUPATEN PATI
33.19.00.0000;KABUPATEN KUDUS
33.21.00.0000;KABUPATEN DEMAK
33.22.00.0000;KABUPATEN SEMARANG
33.23.00.0000;KABUPATEN TEMANGGUNG
33.24.00.0000;KABUPATEN KENDAL
33.25.00.0000;KABUPATEN BATANG
33.26.00.0000;KABUPATEN PEKALONGAN
33.27.00.0000;KABUPATEN PEMALANG
33.28.00.0000;KABUPATEN TEGAL
33.29.00.0000;KABUPATEN BREBES
33.71.00.0000;KOTA MAGELANG
33.72.00.0000;KOTA SURAKARTA
33.73.00.0000;KOTA SALATIGA
33.74.00.0000;KOTA SEMARANG
33.75.00.0000;KOTA PEKALONGAN
33.76.00.0000;KOTA TEGAL
33 20.00.0000;KABUPATEN JEPARA
64.01.00.0000;KABUPATEN PASIR
64.02.00.0000;KABUPATEN KUTAI KARTANEGARA
64.03.00.0000;KABUPATEN BERAU
64.04.00.0000;KABUPATEN BULUNGAN
64.05.00.0000;KABUPATEN NUNUKAN
64.06.00.0000;KABUPATEN MALINAU
64.07.00.0000;KABUPATEN KUTAI BARAT
64.08.00.0000;KABUPATEN KUTAI TIMUR
64.09.00.0000;KABUPATEN PENAJAM PASER UTARA
64.71.00.0000;KOTA BALIKPAPAN
64.72.00.0000;KOTA SAMARINDA
64.73.00.0000;KOTA  TARAKAN
64.74.00.0000;KOTA  BONTANG
13.01.00.0000;KABUPATEN PESISIR SELATAN
</DATA>
