<META>
author:Youppie Arliansyah
email:youppie@gmail.com
tanggal_dibuat:2010-11-17
nama_file:wilayah.txt
deskripsi:Data Wilayah (Propinsi, Kabupaten, Kecamatan) Indonesia, sumber data diambil dari sumbangan Wida Sari dari file group ID-PHP
kegunaan:Demo
lokasi:data/wilayah.txt
primary_key:kode_wilayah
sifat_tabel:master;hirarki
62.11.00.0000;KABUPATEN PULANG PISAU
62.12.00.0000;KABUPATEN  MURUNG RAYA
62.13.00.0000;KABUPATEN  BARITO TIMUR
62.71.00.0000;KOTA PALANGKARAYA
18.01.00.0000;KABUPATEN LAMPUNG SELATAN
18.02.00.0000;KABUPATEN LAMPUNG TENGAH
18.03.00.0000;KABUPATEN LAMPUNG UTARA
18.04.00.0000;KABUPATEN LAMPUNG BARAT
18.05.00.0000;KABUPATEN TULANG BAWANG
18.06.00.0000;KABUPATEN TANGGAMUS
18.07.00.0000;KABUPATEN LAMPUNG TIMUR
18.08.00.0000;KABUPATEN WAY KANAN
18.71.00.0000;KOTA BANDAR LAMPUNG
18.72.00.0000;KOTA METRO
73.01.00.0000;KABUPATEN SELAYAR
73.02.00.0000;KABUPATEN BULUKUMBA
73.03.00.0000;KABUPATEN BANTAENG
73.04.00.0000;KABUPATEN JENEPONTO
73.05.00.0000;KABUPATEN TAKALAR
73.06.00.0000;KABUPATEN GOWA
73.07.00.0000;KABUPATEN SINJAI
71.01.00.0000;KAB. BOLOANG MONGONDOW
71.02.00.0000;KAB. MINAHASA
71.03.00.0000;KAB. KEPULAUAN SANGIHE
71.04.00.0000;KAB. KEPULAUAN TALAUD
71.05.00.0000;KAB. MINAHASA SELATAN
71.71.00.0000;KOTA MANADO
71.72.00.0000;KOTA BITUNG
71.73.00.0000;KOTA TOMOHON
13.02.00.0000;KABUPATEN SOLOK
36.02.00.0000;KABUPATEN LEBAK
36.03.00.0000;KABUPATEN TANGGERANG
36.04.00.0000;KABUPATEN SERANG
36.05.00.0000;KOTA TANGGERANG
36.06.00.0000;KOTA  CILEGON
82.01.00.0000;KABUPATEN MALUKU UTARA
36.01.00.0000;KABUPATEN PANDEGLANG
17.01.00.0000;KABUPATEN BENGKULU SELATAN
17.02.00.0000;KABUPATEN REJANG LEBONG
17.03.00.0000;KABUPATEN BENGKULU UTARA
17.04.00.0000;KABUPATEN  MUKOMUKO
17.05.00.0000;KABUPATEN   SELUMA
17.06.00.0000;KABUPATEN   KAUR
17.07.00.0000;KABUPATEN LEBONG
17.08.00.0000;KABUPATEN KEPAHIANG
17.71.00.0000;KOTA BENGKULU
34.01.00.0000;KABUPATEN KULONPROGO
34.02.00.0000;KABUPATEN BANTUL
34.03.00.0000;KABUPATEN GUNUNG KIDUL
34.04.00.0000;KABUPATEN SLEMAN
34.71.00.0000;KOTA YOGYAKARTA
31.71.00.0000;KOTA JAKARTA PUSAT
31.72.00.0000;KOTA JAKARTA UTARA
31.73.00.0000;KOTA JAKARTA BARAT
31.74.00.0000;KOTA JAKARTA SELATAN
31.75.00.0000;KOTA JAKARTA TIMUR
31.76.00.0000;KABUPATEN KEPULAUAN SERIBU
75.01.00.0000;KABUPATEN GORONTALO
75.02.00.0000;KABUPATEN BOALEMO
75.03.00.0000;KABUPATEN BONE BOLANGO
75.04.00.0000;KABUPATEN POHUWATO
75.71.00.0000;KOTA GORONTALO
92.05.00.0000;KABUPATEN  FAK FAK 
92.06.00.0000;KABUPATEN  SORONG 
92.07.00.0000;KABUPATEN  MANOKWARI
92.15.00.0000;KABUPATEN  SORONG SELATAN
92.16.00.0000;KABUPATEN  RAJA AMPAT
92.21.00.0000;KABUPATEN  KAIMANA
92.25.00.0000;KABUPATEN  TELUK BINTUNI
92.26.00.0000;KABUPATEN  TELUK WONDAMA
92.72.00.0000;KOTA  SORONG 
32.01.00.0000;KABUPATEN BOGOR
32.02.00.0000;KABUPATEN SUKABUMI
32.03.00.0000;KABUPATEN CIANJUR
32.04.00.0000;KABUPATEN BANDUNG
32.05.00.0000;KABUPATEN GARUT
32.06.00.0000;KABUPATEN TASIKMALAYA
32.07.00.0000;KABUPATEN CIAMIS
32.08.00.0000;KABUPATEN KUNINGAN
32.09.00.0000;KABUPATEN CIREBON
32.10.00.0000;KABUPATEN MAJALENGKA
32.11.00.0000;KABUPATEN SUMEDANG
32.12.00.0000;KABUPATEN INDRAMAYU
32.13.00.0000;KABUPATEN SUBANG
32.14.00.0000;KABUPATEN PURWAKARTA
32.15.00.0000;KABUPATEN KARAWANG
32.16.00.0000;KABUPATEN BEKASI
32.71.00.0000;KOTA BOGOR
32.72.00.0000;KOTA SUKABUMI
32.73.00.0000;KOTA BANDUNG
32.74.00.0000;KOTA CIREBON
32.75.00.0000;KOTA BEKASI
32.76.00.0000;KOTA DEPOK
32.77.00.0000;KOTA CIMAHI
32.78.00.0000;KOTA TASIKMALAYA
32.79.00.0000;KOTA BANJAR
19.01.00.0000;KABUPATEN  BANGKA
19.02.00.0000;KABUPATEN  BELITUNG
19.03.00.0000;KABUPATEN  BANGKA SELATAN
19.04.00.0000;KABUPATEN  BANGKA TENGAH
19.05.00.0000;KABUPATEN BANGKA BARAT
19.06.00.0000;KABUPATEN BELITUNG TIMUR
19.71.00.0000;KOTA PANGKALPINANG
82.02.00.0000;KABUPATEN HALMAHERA TENGAH
82.03.00.0000;KABUPATEN HALMAHERA UTARA
82.04.00.0000;KABUPATEN HALMAHERA SELATAN
82.05.00.0000;KABUPATEN KEPULAUAN SULA
82.06.00.0000;KABUPATEN HALMAHERA TIMUR
82.07.00.0000;KOTA TIDORE KEPULAUAN
82.71.00.0000;KOTA TERNATE
52.01.00.0000;KABUPATEN LOMBOK BARAT
52.02.00.0000;KABUPATEN LOMBOK TENGAH
52.03.00.0000;KABUPATEN LOMBOK TIMUR
52.04.00.0000;KABUPATEN SUMBAWA
52.05.00.0000;KABUPATEN DOMPU
52.06.00.0000;KABUPATEN  BIMA
52.07.00.0000;KABUPATEN SUMBAWA BARAT
52.71.00.0000;KOTA MATARAM
52.72.00.0000;KOTA  BIMA
53.01.00.0000;KABUPATEN KUPANG
53.02.00.0000;KABUPATEN TIMOR TENGAH SELATAN
53.03.00.0000;KABUPATEN TIMOR TENGAH  UTARA
53.04.00.0000;KABUPATEN  B E L U
53.05.00.0000;KABUPATEN  ALOR
53.06.00.0000;KABUPATEN  FLORES TIMUR
53.07.00.0000;KABUPATEN  SIKKA
53.08.00.0000;KABUPATEN  ENDE
53.09.00.0000;KABUPATEN  NGADA
53.10.00.0000;KABUPATEN  MANGGARAI
53.11.00.0000;KABUPATEN  SUMBA TIMUR
53.12.00.0000;KABUPATEN  SUMBA BARAT
53.13.00.0000;KABUPATEN  LEMBATA.
53.14.00.0000;KABUPATEN  ROTE NDAO
53.15.00.0000;KABUPATEN  MANGGARAI BARAT
53.71.00.0000;KOTA KUPANG
74.01.00.0000;KABUPATEN KOLAKA
74.02.00.0000;KABUPATEN KENDARI
74.03.00.0000;KABUPATEN MUNA
74.04.00.0000;KABUPATEN BUTON
74.05.00.0000;KABUPATEN KONAWE SELATAN
74.71.00.0000;KOTA KENDARI
74.72.00.0000;KOTA BAU BAU
74.08.00.0000;KABUPATEN KOLAKA TIMUR
74.06.00.0000;KABUPATEN BOMBANA
74.07.00.0000;KABUPATEN WAKATOBI
51.01.00.0000;KABUPATEN JEMBRANA
51.02.00.0000;KABUPATEN TABANAN
51.03.00.0000;KABUPATEN BADUNG
51.04.00.0000;KABUPATEN GIANYAR
51.05.00.0000;KABUPATEN KLUNGKUNG
51.06.00.0000;KABUPATEN BANGLI
51.07.00.0000;KABUPATEN KARANG ASEM
51.08.00.0000;KABUPATEN BULELENG
51.71.00.0000;KOTA DENPASAR
15.01.00.0000;KABUPATEN KERINCI
15.02.00.0000;KABUPATEN  MERANGIN
15.03.00.0000;KABUPATEN  SAROLANGUN 
15.04.00.0000;KABUPATEN  BATANG HARI
15.05.00.0000;KABUPATEN   MUARO JAMBI
15.06.00.0000;KABUPATEN TANJUNG JABUNG BARAT
15.07.00.0000;KABUPATEN TANJUNG JABUNG TIMUR
15.08.00.0000;KABUPATEN BUNGO 
15.09.00.0000;KABUPATEN  TEBO
15.71.00.0000;KOTA JAMBI
61.01.00.0000;KABUPATEN SEKADAU
61.02.00.0000;KABUPATEN PONTIANAK
61.03.00.0000;KABUPATEN SANGGAU
61.04.00.0000;KABUPATEN KETAPANG
61.05.00.0000;KABUPATEN SINTANG
61.06.00.0000;KABUPATEN KAPUAS HULU
61.07.00.0000;KABUPATEN BENGKAYANG
61.08.00.0000;KABUPATEN LANDAK
61.09.00.0000;KABUPATEN MELAWI
61.71.00.0000;KOTA PONTIANAK
61.72.00.0000;KOTA SINGKAWANG
21.01.00.0000;KABUPATEN KEPULAUAN RIAU
21.02.00.0000;KABUPATEN KARIMUN
21.03.00.0000;KABUPATEN NATUNA
21.04.00.0000;KABUPATEN LINGGA
21.71.00.0000;KOTA BATAM
21.72.00.0000;KOTA TANJUNG PINANG
91.01.00.0000;KABUPATEN  PUNCAK JAYA
91.02.00.0000;KABUPATEN  WAROPEN
91.03.00.0000;KABUPATEN JAYAPURA
91.04.00.0000;KABUPATEN  NABIRE 
91.05.00.0000;KABUPATEN  FAK FAK 
91.06.00.0000;KABUPATEN  SORONG 
91.07.00.0000;KABUPATEN  MANOKWARI
91.08.00.0000;KABUPATEN YAPEN WAROPEN
91.09.00.0000;KABUPATEN  BIAK NUMFOR
91.11.00.0000;KABUPATEN  PANIAI
91.12.00.0000;KABUPATEN  MIMIKA
91.13.00.0000;KABUPATEN  SARMI
13.03.00.0000;KABUPATEN SAWAHLUNTO/SIJUNJUNG
13.10.00.0000;KABUPATEN DHARMASRAYA
13.04.00.0000;KABUPATEN TANAH DATAR
13.05.00.0000;KABUPATEN PADANG PARIAMAN
13.06.00.0000;KABUPATEN AGAM
13.07.00.0000;KABUPATEN LIMA PULUH KOTA
13.08.00.0000;KABUPATEN PASAMAN
13.09.00.0000;KABUPATEN KEPULAUAN MENTAWAI.
13.11.00.0000;KABUPATEN SOLOK SELATAN
13.12.00.0000;KABUPATEN PASAMAN BARAT
13.71.00.0000;KOTA PADANG
13.72.00.0000;KOTA SOLOK
13.73.00.0000;KOTA SAWAHLUNTO
13.74.00.0000;KOTA PADANG PANJANG
13.75.00.0000;KOTA  BUKIT TINGGI 
13.76.00.0000;KOTA PAYAKUMBUH
13.77.00.0000;KOTA PARIAMAN
16.01.00.0000;KABUPATEN OGAN KOMERING ULU
16.02.00.0000;KABUPATEN OGAN KOMERING ILIR
16.03.00.0000;KABUPATEN  MUARA ENIM
16.04.00.0000;KABUPATEN  LAHAT
16.05.00.0000;KABUPATEN  MUSI RAWAS
16.06.00.0000;KABUPATEN  MUSI BANYUASIN
16.07.00.0000;KABUPATEN  BANYUASIN
16.10.00.0000;KABUPATEN OGAN  ILIR
16.08.00.0000;KABUPATEN OGAN KOMERING ULU TIMUR
16.09.00.0000;KABUPATEN OGAN KOMERING ULU SELATAN
16.71.00.0000;KOTA PALEMBANG
16.72.00.0000;KOTA PAGAR ALAM 
16.73.00.0000;KOTA  LUBUK LINGGAU
16.74.00.0000;KOTA  PRABUMULIH
72.01.00.0000;KABUPATEN BANGGAI
72.02.00.0000;KABUPATEN POSO
72.03.00.0000;KABUPATEN DONGGALA
72.04.00.0000;KABUPATEN  TOLI TOLI
72.05.00.0000;KABUPATEN BANGGAI KEPULAUAN
72.06.00.0000;KABUPATEN MOROWALI
72.07.00.0000;KABUPATEN  BUOL
72.08.00.0000;KABUPATEN PARIGI MOUTONG
72.09.00.0000;KABUPATEN TOJO UNA UNA
72.71.00.0000;KOTA PALU
12.01.00.0000;KABUPATEN TAPANULI TENGAH
12.02.00.0000;KABUPATEN TAPANULI UTARA
12.03.00.0000;KABUPATEN TAPANULI  SELATAN
12.04.00.0000;KABUPATEN NIAS
12.05.00.0000;KABUPATEN LANGKAT
12.06.00.0000;KABUPATEN KARO
12.07.00.0000;KABUPATEN DELI SERDANG
12.08.00.0000;KABUPATEN  SIMALUNGUN.
12.09.00.0000;KABUPATEN ASAHAN
12.10.00.0000;KABUPATEN LABUHAN BATU
12.11.00.0000;KABUPATEN DAIRI
12.12.00.0000;KABUPATEN TOBA SAMOSIR
12.13.00.0000;KABUPATEN MANDAILING NATAL
12.14.00.0000;KABUPATEN NIAS SELATAN
12.15.00.0000;KABUPATEN PAKPAK BHARAT
12.16.00.0000;KABUPATEN HUMBANG HASUNDUTAN
12.17.00.0000;KABUPATEN SAMOSIR
12.18.00.0000;KABUPATEN SERDANG BEDAGAI
12.71.00.0000;KOTA MEDAN
12.72.00.0000;KOTA PEMATANG SIANTAR
12.73.00.0000;KOTA SIBOLGA
12.74.00.0000;KOTA TANJUNG BALAI
12.75.00.0000;KOTA BINJAI
12.76.00.0000;KOTA TEBING TINGGI
12.77.00.0000;KOTA PADANG SIDIMPUAN
11.01.00.0000;KABUPATEN ACEH SELATAN
11.02.00.0000;KABUPATEN ACEH TENGGARA
11.03.00.0000;KABUPATEN ACEH TIMUR
11.04.00.0000;KABUPATEN ACEH TENGAH
11.05.00.0000;KABUPATEN ACEH BARAT
11.06.00.0000;KABUPATEN ACEH BESAR
11.07.00.0000;KABUPATEN PIDIE
11.08.00.0000;KABUPATEN ACEH UTARA
11.09.00.0000;KABUPATEN SIMEULUE
11.10.00.0000;KABUPATEN ACEH SINGKIL
11.11.00.0000;KABUPATEN BIREUEN
11.12.00.0000;KABUPATEN ACEH BARAT DAYA
11.13.00.0000;KABUPATEN GAYO LUES
11.14.00.0000;KABUPATEN ACEH JAYA
11.15.00.0000;KABUPATEN NAGAN RAYA
11.16.00.0000;KABUPATEN ACEH TAMIANG
11.17.00.0000;KABUPATEN  BENER MERIAH
11.71.00.0000;KOTA BANDA ACEH
11.72.00.0000;KOTA SABANG
11.73.00.0000;KOTA LHOKSEUMAWE
11.74.00.0000;KOTA LANGSA
81.01.00.0000;KABUPATEN MALUKU TENGGARA  BARAT
81.02.00.0000;KABUPATEN MALUKU TENGGARA
81.03.00.0000;KABUPATEN MALUKU TENGAH
81.04.00.0000;KABUPATEN  BURU
81.05.00.0000;KABUPATEN SERAM BAGIAN BARAT
81.06.00.0000;KABUPATEN SERAM BAGIAN TIMUR
81.07.00.0000;KABUPATEN KEPULAUAN ARU
81.71.00.0000;KOTA AMBON
35.01.00.0000;KABUPATEN PACITAN
35.02.00.0000;KABUPATEN PONOROGO
35.03.00.0000;KABUPATEN TRENGGALEK
35.04.00.0000;KABUPATEN TULUNGAGUNG
35.05.00.0000;KABUPATEN BLITAR
35.06.00.0000;KABUPATEN KEDIRI
35.07.00.0000;KABUPATEN MALANG
35.08.00.0000;KABUPATEN LUMAJANG
35.09.00.0000;KABUPATEN JEMBER
35.10.00.0000;KABUPATEN BANYUWANGI
35.11.00.0000;KABUPATEN BONDOWOSO
35.12.00.0000;KABUPATEN SITUBONDO
35.13.00.0000;KABUPATEN PROBOLINGGO
35.14.00.0000;KABUPATEN PASURUAN
35.15.00.0000;KABUPATEN SIDOARJO
35.16.00.0000;KABUPATEN MOJOKERTO
35.17.00.0000;KABUPATEN JOMBANG
35.18.00.0000;KABUPATEN NGANJUK
35.19.00.0000;KABUPATEN MADIUN
35.20.00.0000;KABUPATEN MAGETAN
35.21.00.0000;KABUPATEN NGAWI
35.22.00.0000;KABUPATEN BOJONEGORO
35.23.00.0000;KABUPATEN TUBAN
35.24.00.0000;KABUPATEN LAMONGAN
35.25.00.0000;KABUPATEN GRESIK
35.26.00.0000;KABUPATEN BANGKALAN
35.27.00.0000;KABUPATEN SAMPANG
35.28.00.0000;KABUPATEN PAMEKASAN
35.29.00.0000;KABUPATEN SUMENEP
35.71.00.0000;KOTA KEDIRI
35.72.00.0000;KOTA BLITAR
35.73.00.0000;KOTA MALANG
35.74.00.0000;KOTA PROBOLINGGO
35.75.00.0000;KOTA PASURUAN
35.76.00.0000;KOTA MOJOKERTO
35.77.00.0000;KOTA MADIUN
35.78.00.0000;KOTA SURABAYA
35.79.00.0000;KOTA BATU
33.01.00.0000;KABUPATEN CILACAP
33.02.00.0000;KABUPATEN BANYUMAS
33.03.00.0000;KABUPATEN PURBALINGGA
33.04.00.0000;KABUPATEN BANJARNEGARA
33.05.00.0000;KABUPATEN KEBUMEN
33.06.00.0000;KABUPATEN PURWOREJO
33.07.00.0000;KABUPATEN WONOSOBO
33.08.00.0000;KABUPATEN MAGELANG
33.09.00.0000;KABUPATEN BOYOLALI
33.10.00.0000;KABUPATEN KLATEN
33.11.00.0000;KABUPATEN SUKOHARJO
33.12.00.0000;KABUPATEN WONOGIRI
33.13.00.0000;KABUPATEN KARANGANYAR
33.14.00.0000;KABUPATEN SRAGEN
33.15.00.0000;KABUPATEN GROBOGAN
33.16.00.0000;KABUPATEN BLORA
33.17.00.0000;KABUPATEN REMBANG
33.18.00.0000;KABUPATEN PATI
33.19.00.0000;KABUPATEN KUDUS
33.21.00.0000;KABUPATEN DEMAK
33.22.00.0000;KABUPATEN SEMARANG
33.23.00.0000;KABUPATEN TEMANGGUNG
33.24.00.0000;KABUPATEN KENDAL
33.25.00.0000;KABUPATEN BATANG
33.26.00.0000;KABUPATEN PEKALONGAN
33.27.00.0000;KABUPATEN PEMALANG
33.28.00.0000;KABUPATEN TEGAL
33.29.00.0000;KABUPATEN BREBES
33.71.00.0000;KOTA MAGELANG
33.72.00.0000;KOTA SURAKARTA
33.73.00.0000;KOTA SALATIGA
33.74.00.0000;KOTA SEMARANG
33.75.00.0000;KOTA PEKALONGAN
33.76.00.0000;KOTA TEGAL
33 20.00.0000;KABUPATEN JEPARA
64.01.00.0000;KABUPATEN PASIR
64.02.00.0000;KABUPATEN KUTAI KARTANEGARA
64.03.00.0000;KABUPATEN BERAU
64.04.00.0000;KABUPATEN BULUNGAN
64.05.00.0000;KABUPATEN NUNUKAN
64.06.00.0000;KABUPATEN MALINAU
64.07.00.0000;KABUPATEN KUTAI BARAT
64.08.00.0000;KABUPATEN KUTAI TIMUR
64.09.00.0000;KABUPATEN PENAJAM PASER UTARA
64.71.00.0000;KOTA BALIKPAPAN
64.72.00.0000;KOTA SAMARINDA
64.73.00.0000;KOTA  TARAKAN
64.74.00.0000;KOTA  BONTANG
13.01.00.0000;KABUPATEN PESISIR SELATAN
82.01.01.0000;JAILOLO
36.01.01.0000;S U M U R
36.01.02.0000;CIMANGGU
36.01.03.0000;CIBALIUNG
36.01.04.0000;CIKEUSIK
36.01.05.0000;CIGEULIS
36.01.06.0000;PANIMBANG
36.01.07.0000;ANGSANA
36.01.08.0000;MUNJUL
36.01.10.0000;BOJONG
36.01.11.0000;PICUNG
36.01.12.0000;LABUAN
36.01.13.0000;MENES
36.01.14.0000;SAKETI
36.01.15.0000;CIPEUCANG
36.01.16.0000;J I P U T
36.01.17.0000;MANDALAWANGI
36.01.18.0000;CIMANUK
36.01.19.0000;KADUHEJO
36.01.20.0000;BANJAR
36.01.21.0000;PANDEGLANG
36.01.22.0000;CADASARI
36.01.23.0000;CISATA
36.01.24.0000;PATIA
36.01.25.0000;KARANG TANJUNG
36.01.26.0000;CIKEDAL
36.02.01.0000;MALINGPING
36.02.02.0000;PANGGARANGAN
36.02.03.0000;B A Y A H
36.02.04.0000;CIPANAS
36.02.05.0000;M U N C A N G
36.02.06.0000;LEUWIDAMAR
36.02.07.0000;BOJONGMANIK
36.02.08.0000;GUNUNGKENCANA
36.02.09.0000;BANJARSARI
36.02.10.0000;CILELES
36.02.11.0000;CIMARGA
36.02.12.0000;S A J I R A 
36.02.13.0000;M  A  J  A
36.02.14.0000;RANGKASBITUNG
36.02.15.0000;WARUNGGUNUNG
36.02.16.0000;CIJAKU
36.02.17.0000;CIKULUR
36.02.18.0000;CIBADAK
36.02.19.0000;CIBEBER
36.03.01.0000;BALARAJA
36.03.02.0000;JAYANTI
36.03.03.0000;TIGARAKSA
36.03.04.0000;JAMBE
36.03.05.0000;CISOKA
36.03.06.0000;KRESEK
36.03.07.0000;KRONJO
36.03.08.0000;M A U K
36.03.09.0000;KEMIRI
36.03.10.0000;SUKADIRI
36.03.11.0000;R A J E G
36.03.12.0000;PASAR KEMIS
36.03.13.0000;TELUKNAGA
36.03.14.0000;KOSAMBI
36.03.15.0000;PAKUHAJI
36.03.16.0000;SEPATAN
36.03.17.0000;C U R U G
36.03.18.0000;CIKUPA
36.03.19.0000;PANONGAN
36.03.20.0000;L E G O K
36.03.21.0000;SERPONG
36.03.22.0000;PAGEDANGAN
36.03.23.0000;CISAUK
36.03.24.0000;PONDOK AREN
36.03.25.0000;PAMULANG
36.03.26.0000;CIPUTAT
36.04.01.0000;SERANG
36.04.02.0000;CIPOCOK JAYA
36.04.03.0000;KASEMEN
36.04.04.0000;TAKTAKAN
36.04.05.0000;KRAMATWATU
36.04.06.0000;WARINGINKURUNG
36.04.07.0000;BOJONEGARA
36.04.08.0000;PULO AMPEL
36.04.09.0000;CIRUAS
36.04.10.0000;WALANTAKA
36.04.11.0000;KRAGILAN
36.04.12.0000;PONTANG
36.04.13.0000;TIRTAYASA
36.04.14.0000;T A N A R A
36.04.15.0000;CIKANDE
36.04.16.0000;KIBIN
36.04.17.0000;CARENANG
39.04.18.0000;BINUANG
36.04.19.0000;P E T I R
36.04.20.0000;TANJUNG TEJA
36.04.21.0000;C U R U G
36.04.22.0000;B A R O S
36.04.23.0000;CIKEUSAL
36.04.24.0000;PAMARAYAN
36.04.25.0000;K O P O
36.04.26.0000;JAWILAN
36.04.27.0000;C I O M A S
36.04.28.0000;PABUARAN
36.04.29.0000;PADARINCANG
36.04.30.0000;A N Y A R
36.04.31.0000;CINANGKA
36.04.32.0000;M A N C A K
36.71.01.0000;TANGERANG
36.71.02.0000;JATIUWUNG
36.71.03.0000;BATU CEPER
36.71.04.0000;BENDA
36.71.05.0000;CIPONDOH
36.71.06.0000;CILEDUG
36.71.07.0000;KARAWACI
36.71.08.0000;PERIUK
36.71.09.0000;CIBODAS
36.71.10.0000;NEGLASARI
36.71.11.0000;PINANG
36.71.12.0000;KARANG TENGAH
36.71.13.0000;LARANGAN
36.72.01.0000;CIBEBER
36.72.02.0000;CILEGON
36.72.03.0000;PULOMERAK
36.72.04.0000;CIWANDAN
36.72.05.0000;JOMBANG
36.72.06.0000;GEROGOL
36.72.07.0000;PURWAKARTA
36.72.08.0000;CITANGKIL
.0000;
17.01.01.0000;KEDURANG
17.01.02.0000;SEGINIM
17.01.03.0000;P  I  N  O
17.01.04.0000;MANNA
17.01.05.0000;KOTA MANNA
17.01.06.0000;PINO RAYA
17.02.01.0000;KOTA PADANG
17.02.02.0000;PADANG ULAK  TANDING
17.02.03.0000;SINDANG KELINGI
17.02.04.0000;CURUP
17.02.05.0000;BERMANI ULU
17.02.06.0000;SELUPU REJANG
17.03.01.0000;ENGGANO
17.03.02.0000;TALANG EMPAT
17.03.03.0000;KARANG TINGGI
17.03.04.0000;TABA PENANJUNG
17.03.05.0000;PAGAR JATI
17.03.06.0000;KERKAP
17.03.07.0000;ARGA MAKMUR
17.03.08.0000;GIRI MULIA
17.03.09.0000;PADANG JAYA
17.03.10.0000;LAIS
17.03.11.0000;BATIK NAU
17.03.12.0000;KETAHUN
17.03.13.0000;NAPAL PUTIH
17.03.14.0000;PUTRI HIJAU
17.03.15.0000;AIR BESI
17.03.16.0000;AIR NAPAL
17.03.17.0000;PEMATANG TIGA
17.03.18.0000;PONDOK KELAPA
17.04.01.0000;LUBUK PINANG
17.04.02.0000;MUKO-MUKO UTARA
17.04.03.0000;TERAS TERUNJAM
17.04.04.0000;PONDOK SUGUH
17.04.05.0000;MUKO-MUKO SELATAN
17.05.01.0000;SUKARAJA
17.05.02.0000;SELUMA
