<META>
author:Wida Sari
tanggal_dibuat:21/11/2011
email:wida.sari@yahoo.com
nama_file:indeks_harga_konsumen_inflasi_1979_2011.txt
deskripsi:indeks_harga_konsumen_inflasi_1979_2011;www.bps.go.id/aboutus.php?inflasi=1
kegunaan:demo
lokasi:data/indeks_harga_konsumen_inflasi_1979_2011.txt
primary_key:Bulan
sifat_tabel:statistik
struktur_tabel:Bulan;IHK;INFLASI
Nov - 1997;207.38;1.65
Des - 1997;211.62;2.04
Jan - 1998;226.20;6.88
Feb - 1998;255.00;12.76
Mar - 1998;269.00;5.49
Apr - 1998;148.83;4.70
Mei - 1998;156.63;5.24
Jun - 1998;163.89;4.64
Jul - 1998;177.92;8.56
Agt - 1998;153.51;4.48
Sep - 1998;196.23;3.75
Okt - 1998;155.70;-0.27
Nov - 1998;158.11;0.48
Des - 1998;198.64;1.42
Jan - 1999;204.54;2.97
Feb - 1999;207.12;1.26
Mar - 1999;206.75;-0.18
Apr - 1999;205.34;-0.68
Mei - 1999;204.76;-0.28
Jun - 1999;204.07;-0.34
Jul - 1999;201.93;-1.05
Agt - 1999;200.05;-0.93
Sep - 1999;198.68;-0.68
Okt - 1999;198.79;0.06
Nov - 1999;199.00;0.25
Des - 1999;202.45;1.73
Jan - 2000;205.12;1.32
Feb - 2000;205.27;0.07
Mar - 2000;204.34;-0.45
Apr - 2000;205.48;0.56
Mei - 2000;207.21;0.84
Jun - 2000;208.24;0.50
Jul - 2000;210.91;1.28
Agt - 2000;211.99;0.51
Sep - 2000;211.87;-0.06
Okt - 2000;214.33;1.16
Nov - 2000;217.15;1.32
Des - 2000;221.37;1.94
Jan - 2001;222.10;0.33
Feb - 2001;224.04;0.87
Mar - 2001;226.04;0.89
Apr - 2001;227.07;0.46
Mei - 2001;229.63;1.13
Jun - 2001;233.46;1.67
Jul - 2001;238.42;2.12
Agt - 2001;237.92;-0.21
Sep - 2001;239.44;0.64
Okt - 2001;241.06;0.68
Nov - 2001;245.18;1.71
Des - 2001;249.15;1.62
Jan - 2002;254.12;1.99
Feb - 2002;257.93;1.50
Mar - 2002;257.87;-0.02
Apr - 2002;257.26;-0.24
Mei - 2002;259.31;0.80
Jun - 2002;260.25;0.36
Jul - 2002;262.38;0.82
Agt - 2002;263.13;0.29
Sep - 2002;264.53;0.53
Okt - 2002;265.95;0.54
Nov - 2002;270.87;1.85
Des - 2002;274.13;1.20
Jan - 2003;276.33;0.80
Feb - 2003;276.87;0.20
Mar - 2003;276.23;-0.23
Apr - 2003;276.65;0.15
Mei - 2003;277.23;0.21
Jun - 2003;277.49;0.09
Jul - 2003;277.58;0.03
Agt - 2003;297.92;0.84
Sep - 2003;280.93;0.36
Okt - 2003;282.48;0.55
Nov - 2003;285.32;1.01
Des - 2003;287.99;0.94
Jan - 2004;110.45;0.57
Feb - 2004;110.43;-0.02
Mar - 2004;110.83;0.36
Apr - 2004;111.91;0.97
Mei - 2004;112.90;0.88
Jun - 2004;113.44;0.48
Jul - 2004;113.88;0.39
Agt - 2004;113.98;0.09
Sep - 2004;114.00;0.02
Okt - 2004;114.64;0.56
Nov - 2004;115.66;0.89
Des - 2004;116.86;1.04
Jan - 2005;118.53;1.43
Feb - 2005;118.33;-0.17
Mar - 2005;120.59;1.91
Apr - 2005;121.00;0.34
Mei - 2005;121.25;0.21
Jun - 2005;121.86;0.50
Jul - 2005;122.81;0.78
Agt - 2005;123.48;0.55
Sep - 2005;124.33;0.69
Okt - 2005;135.15;8.70
Nov - 2005;136.92;1.31
Des - 2005;136.86;-0.04
Jan - 2006;138.72;1.36
Feb - 2006;0;0
Mar - 2006;0;0
Apr - 2006;0;0
Mei - 2006;0;0
Jun - 2006;0;0
Jul - 2006;0;0
Agt - 2006;0;0
Sep - 2006;0;0
Okt - 2006;0;0
Nov - 2006;0;0
Des - 2006;0;0
Jan - 2007;147.41;1.04
Feb - 2007;0;0
Mar - 2007;0;0
Apr - 2007;0;0
Mei - 2007;0;0
Jun - 2007;0;0
Jul - 2007;0;0
Agt - 2007;0;0
Sep - 2007;0;0
Okt - 2007;0;0
Nov - 2007;153.81;0.18
Des - 2007;155.50;1.10
Jan - 2008;158.26;1.77
Feb - 2008;159.29;0.65
Mar - 2008;160.81;0.95
Apr - 2008;161.73;0.57
Mei - 2008;164.01;1.41
Jun - 2008;110.08;2.46
Jul - 2008;111.59;1.37
Agt - 2008;112.16;0.51
Sep - 2008;113.25;0.97
Okt - 2008;113.76;0.45
Nov - 2008;113.90;0.12
Des - 2008;113.86;-0.04
Jan - 2009;113.78;-0.07
Feb - 2009;114.02;0.21
Mar - 2009;114.27;0.22
Apr - 2009;113.92;-0.31
Mei - 2009;113.97;0.04
Jun - 2009;114.10;0.11
Jul - 2009;114.61;0.45
Agt - 2009;115.25;0.56
Sep - 2009;116.46;1.05
Okt - 2009;116.68;0.19
Nov - 2009;116.65;-0.03
Des - 2009;117.03;0.33
Jan - 2010;118.01;0.84
Feb - 2010;118.36;0.30
Mar - 2010;118.19;-0.14
Apr - 2010;118.37;0.15
Mei - 2010;118.71;0.29
Jun - 2010;119.86;0.97
Jul - 2010;121.74;1.57
Agt - 2010;122.67;0.76
Sep - 2010;123.21;0.44
Okt - 2010;123.29;0.06
Nov - 2010;124.03;0.60
Des - 2010;0;0
Jan - 2011;126.29;0.89
Feb - 2011;126.46;0.13
Mar - 2011;126.05;-0.32
Apr - 2011;125.66;-0.31
Mei - 2011;125.81;0.12
Jun - 2011;126.50;0.55
Jul - 2011;127.35;0.67
Agt - 2011;128.54;0.93
Sep - 2011;0;0
Okt - 2011;0;0
Nov - 2011;0;0
Des - 2011;0;0
</DATA>
